% Model:              Grotthus_multi_3.5a_w.mph
% Version:            COMSOL 5.2.0.220
% Date:               Jun 7 2016, 17:13
% Dimension:          2
% Nodes:              100
% Expressions:        4
% Description:        Dependent variable wO, Dependent variable wH2OCat, , Dependent variable p
% Length unit:        m
% x                       y                        wO (1)                   wH2OCat (1)              wN (1)                   p (1)
2.0E-4                    0.00101010101010101      0.13937233722920309      0.3750809945637816       0.48554666820701536      106624.40020292623
2.0E-4                    0.0010303030303030303    0.13961249226638614      0.3746328063281765       0.4857547014054373       106776.06466179038
2.0E-4                    0.0010505050505050506    0.13985294431626846      0.3741840614579496       0.48596299422578193      106927.4082412165
2.0E-4                    0.0010707070707070708    0.14009367787028149      0.37373479372829477      0.48617152840142375      107078.42916696954
2.0E-4                    0.001090909090909091     0.14033465758329686      0.3732850738944481       0.486380268522255        107229.12502808128
2.0E-4                    0.0011111111111111111    0.14057582708067504      0.3728350120379942       0.48658916088133075      107379.49243376087
2.0E-4                    0.0011313131313131313    0.14081710704694173      0.3723847612328014       0.4867981317202569       107529.5265848839
2.0E-4                    0.0011515151515151516    0.1410583915552443       0.37193452454964726      0.4870070838951084       107679.22069143376
2.0E-4                    0.0011717171717171718    0.1412995437052799       0.3714845633147469       0.48721589297997325      107828.56521189168
2.0E-4                    0.001191919191919192     0.1415403892673673       0.371035209131601        0.4874244016010317       107977.5468120724
2.0E-4                    0.0012121212121212121    0.14178070784870966      0.3705868805740784       0.48763241157721193      108126.14692052797
2.0E-4                    0.0012323232323232323    0.14202022270181566      0.37014010237894873      0.4878396749192356       108274.33981433838
2.0E-4                    0.0012525252525252527    0.14225858399588115      0.3696955370462525       0.4880458789578663       108422.08981647945
2.0E-4                    0.0012727272727272728    0.14249535118044035      0.369254018019855        0.48825063079970465      108569.34764253945
2.0E-4                    0.001292929292929293     0.1427299640179744       0.36881660435250685      0.4884534316295187       108716.04501401856
2.0E-4                    0.0013131313131313131    0.14296170753398052      0.3683846467498834       0.48865364571613606      108862.08732393912
2.0E-4                    0.0013333333333333333    0.14318966454961862      0.3679598770174508       0.4888504584329305       109007.34331137432
2.0E-4                    0.0013535353535353537    0.1434126549360287       0.36754452247404634      0.48904282258992493      109151.63078887286
2.0E-4                    0.0013737373737373738    0.1436291584125457       0.3671414512891694       0.4892293902982848       109294.69691827767
2.0E-4                    0.001393939393939394     0.14383723615448687      0.36675431968356575      0.4894084441619474       109436.19312445393
2.0E-4                    0.0014141414141414141    0.1440344590300169       0.366387706177722        0.48957783479226114      109575.6441920799
2.0E-4                    0.0014343434343434343    0.1442179046586078       0.3660471152206374       0.4897349801207548       109712.41901451234
2.0E-4                    0.0014545454545454547    0.14438426508693294      0.3657387715592554       0.4898769633538117       109845.71177065652
2.0E-4                    0.0014747474747474748    0.14453017643036753      0.36546899566240776      0.49000082790722477      109974.55925614054
2.0E-4                    0.001494949494949495     0.1446527401308088       0.3652432186992631       0.49010404116992806      110097.90776778088
2.0E-4                    0.0015151515151515152    0.1447501412238857       0.3650648182968771       0.4901850404792373       110214.74017294412
2.0E-4                    0.0015353535353535353    0.14482209768603183      0.36493427595439454      0.49024362635957364      110324.22109866503
2.0E-4                    0.0015555555555555557    0.14486992010194458      0.36484907186289917      0.4902810080351563       110425.80948442606
2.0E-4                    0.0015757575757575758    0.14489616061097227      0.3648043535057574       0.4902994858832704       110519.2924528922
2.0E-4                    0.001595959595959596     0.14490406425434552      0.3647939736853633       0.49030196206029114      110604.74616180765
2.0E-4                    0.0016161616161616162    0.14489704452134958      0.3648114796400752       0.49029147583857524      110682.45670229955
2.0E-4                    0.0016363636363636363    0.1448783362250641       0.36485076540099093      0.490270898373945        110752.83992843903
2.0E-4                    0.0016565656565656567    0.1448508118628996       0.36490641511998206      0.4902427730171183       110816.3761635726
2.0E-4                    0.0016767676767676769    0.1448169294524482       0.36497379873456726      0.49020927181298457      110873.56641954379
2.0E-4                    0.001696969696969697     0.14477874464801008      0.36504904710109215      0.49017220825089775      110924.90469035148
2.0E-4                    0.0017171717171717172    0.14473795517451796      0.36512896677760237      0.4901330780478797       110970.86193077317
2.0E-4                    0.0017373737373737373    0.1446959558750039       0.36521093529891613      0.49009310882608004      111011.87779006144
2.0E-4                    0.0017575757575757577    0.14465388917297703      0.36529280552314236      0.4900533053038806       111048.3560881298
2.0E-4                    0.0017777777777777779    0.1446126920690556       0.36537281672643246      0.49001449120451196      111080.66364481646
2.0E-4                    0.001797979797979798     0.14457313316897122      0.36544952476388015      0.4899773420671486       111109.1308527549
